date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
1998-04-27,sz.000858,29.7700,57.0000,29.7700,53.5700,14.7700,34163076,1846204586.1200,3,47.448717,1,262.694600,50.227019,43.687729,7.776255,0.000000,0
1998-04-28,sz.000858,54.0000,56.5000,53.6000,54.1900,53.5700,6765827,371571836.1000,3,9.396982,1,1.157362,50.808329,44.193355,7.866255,0.000000,0
1998-04-29,sz.000858,54.9700,54.9800,52.9000,53.3000,54.1900,3393230,181927515.9500,3,4.712819,1,-1.642368,49.973868,43.467537,7.737062,0.000000,0
1998-04-30,sz.000858,53.3000,54.2000,53.2000,53.6500,53.3000,2385686,127942178.1100,3,3.313453,1,0.656665,50.302027,43.752971,7.787868,0.000000,0
1998-05-04,sz.000858,55.1000,59.0200,55.0000,59.0200,53.6500,4920974,285312925.3300,3,6.834686,1,10.009320,55.336917,48.132346,8.567381,0.000000,0
1998-05-05,sz.000858,62.8800,64.9000,61.6100,62.6600,59.0200,8409522,532130549.2100,3,11.679892,1,6.167400,58.749767,51.100861,9.095765,0.000000,0
1998-05-06,sz.000858,62.2000,66.0000,61.8000,65.7300,62.6600,4436626,283147678.4700,3,6.161981,1,4.899463,61.628187,53.604526,9.541408,0.000000,0
1998-05-07,sz.000858,67.0000,69.8000,66.0000,66.4500,65.7300,6001649,405496127.6700,3,8.335624,1,1.095380,62.303256,54.191705,9.645924,0.000000,0
1998-05-08,sz.000858,66.4500,68.1800,66.0000,67.0200,66.4500,3539365,237166398.6600,3,4.915785,1,0.857787,62.837685,54.656554,9.728666,0.000000,0
1998-05-11,sz.000858,66.6000,67.1800,63.8000,64.0400,67.0200,3280228,212802478.3200,3,4.555872,1,-4.446428,60.043649,52.226287,9.296087,0.000000,0
1998-05-12,sz.000858,63.3000,63.8000,62.2200,63.4300,64.0400,1915108,120685590.8400,3,2.659872,1,-0.952531,59.471716,51.728816,9.207539,0.000000,0
1998-05-13,sz.000858,63.2000,65.7500,63.0100,63.8500,63.4300,1393048,89469272.6500,3,1.934789,1,0.662144,59.865506,52.071337,9.268506,0.000000,0
1998-05-14,sz.000858,63.8500,64.4500,62.8500,63.0300,63.8500,1150134,72694745.8800,3,1.597408,1,-1.284260,59.096677,51.402606,9.149475,0.000000,0
1998-05-15,sz.000858,63.4000,65.2000,63.1000,63.9300,63.0300,1044006,66869012.3500,3,1.450008,1,1.427894,59.940514,52.136579,9.280119,0.000000,0
1998-05-18,sz.000858,65.0000,65.0000,62.5200,63.1000,63.9300,735791,46577620.4200,3,1.021932,1,-1.298298,59.162309,51.459692,9.159636,0.000000,0
1998-05-19,sz.000858,62.5000,64.0000,61.5000,62.3300,63.1000,1097331,68153736.7000,3,1.524071,1,-1.220280,58.440360,50.831737,9.047862,0.000000,0
1998-05-20,sz.000858,62.0000,62.3000,60.8500,60.8900,62.3300,921740,56580399.2900,3,1.280194,1,-2.310288,57.090222,49.657380,8.838831,0.000000,0
1998-05-21,sz.000858,60.3000,63.2000,60.3000,62.0100,60.8900,772176,47390999.4600,3,1.072467,1,1.839381,58.140329,50.570769,9.001411,0.000000,0
1998-05-22,sz.000858,62.1000,63.0000,61.6000,62.4900,62.0100,826401,51396795.8000,3,1.147779,1,0.774074,58.590376,50.962222,9.071088,0.000000,0
1998-05-25,sz.000858,62.4800,62.4900,60.8600,60.9300,62.4900,687385,42102711.0500,3,0.954701,1,-2.496402,57.127726,49.690001,8.844637,0.000000,0
1998-05-26,sz.000858,60.8800,61.9900,60.3800,60.7400,60.9300,662982,40315839.1500,3,0.920808,1,-0.311831,56.949582,49.535051,8.817057,0.000000,0
1998-05-27,sz.000858,61.0000,61.0000,59.5300,59.6800,60.7400,1056097,63468755.7400,3,1.466801,1,-1.745145,55.955731,48.670593,8.663187,0.000000,0
1998-05-28,sz.000858,59.1000,61.4800,59.0000,60.0400,59.6800,1240320,74459394.7600,3,1.722667,1,0.603218,56.293265,48.964183,8.715444,0.000000,0
1998-05-29,sz.000858,60.0300,60.9000,59.8000,60.0000,60.0400,536869,32330498.2200,3,0.745651,1,-0.066624,56.255761,48.931562,8.709638,0.000000,0
1998-06-01,sz.000858,60.0000,60.0000,57.8800,58.9700,60.0000,1290764,75831724.5000,3,1.792728,1,-1.716665,55.290038,48.091570,8.560123,0.000000,0
1998-06-02,sz.000858,58.9000,58.9000,57.8000,57.9000,58.9700,858520,49812715.9500,3,1.192389,1,-1.814481,54.286810,47.218957,8.404801,0.000000,0
1998-06-03,sz.000858,57.5900,57.7500,55.9200,55.9900,57.9000,1237300,69987775.7800,3,1.718472,1,-3.298791,52.496001,45.661302,8.127544,0.000000,0
